Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	4.96447E-9	
Y (m)	6.49409E-9	
Z (m)	-173.056E-9	
Z offset (m)	0E+0	
Settling time (s)	800E-6	
Integration time (s)	6E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 6 (V)	Bias (V)	OC M1 Freq. Shift (Hz)	Current [bwd] (A)	Input 6 [bwd] (V)	Bias [bwd] (V)	OC M1 Freq. Shift [bwd] (Hz)
4.27850E-1	4.46000E-11	3.54671E-2	4.27850E-1	-2.24431E+1	3.56776E-11	3.46906E-2	4.27850E-1	-2.23576E+1
4.27200E-1	3.79610E-11	3.53554E-2	4.27200E-1	-2.23676E+1	4.26385E-11	3.50374E-2	4.27200E-1	-2.23121E+1
4.26550E-1	3.19189E-11	3.56604E-2	4.26550E-1	-2.23501E+1	4.53153E-11	3.46331E-2	4.26550E-1	-2.24192E+1
4.25900E-1	3.17879E-11	3.57646E-2	4.25900E-1	-2.23863E+1	4.11019E-11	3.38017E-2	4.25900E-1	-2.22676E+1
4.25250E-1	3.83938E-11	3.54014E-2	4.25250E-1	-2.22283E+1	3.37637E-11	3.33080E-2	4.25250E-1	-2.25010E+1
4.24600E-1	4.39757E-11	3.49338E-2	4.24600E-1	-2.23895E+1	3.19223E-11	3.35567E-2	4.24600E-1	-2.25129E+1
4.23950E-1	4.22290E-11	3.45594E-2	4.23950E-1	-2.23162E+1	3.72978E-11	3.45326E-2	4.23950E-1	-2.24073E+1
4.23300E-1	3.50644E-11	3.46833E-2	4.23300E-1	-2.23936E+1	4.34351E-11	3.51317E-2	4.23300E-1	-2.22393E+1
4.22650E-1	3.02983E-11	3.50014E-2	4.22650E-1	-2.26075E+1	4.38692E-11	3.45000E-2	4.22650E-1	-2.25282E+1
4.22000E-1	3.28827E-11	3.51561E-2	4.22000E-1	-2.21765E+1	3.74334E-11	3.33303E-2	4.22000E-1	-2.25388E+1
4.21350E-1	4.00129E-11	3.50467E-2	4.21350E-1	-2.24349E+1	3.14186E-11	3.25350E-2	4.21350E-1	-2.24375E+1
4.20700E-1	4.35600E-11	3.48443E-2	4.20700E-1	-2.22652E+1	3.19774E-11	3.28197E-2	4.20700E-1	-2.22576E+1
4.20050E-1	3.95904E-11	3.50621E-2	4.20050E-1	-2.23809E+1	3.90668E-11	3.35034E-2	4.20050E-1	-2.24090E+1
4.19400E-1	3.18623E-11	3.58100E-2	4.19400E-1	-2.22889E+1	4.41615E-11	3.38455E-2	4.19400E-1	-2.23840E+1
4.18750E-1	2.99345E-11	3.65290E-2	4.18750E-1	-2.21658E+1	4.09843E-11	3.32901E-2	4.18750E-1	-2.20727E+1
4.18100E-1	3.57663E-11	3.65439E-2	4.18100E-1	-2.22530E+1	3.39617E-11	3.25765E-2	4.18100E-1	-2.22499E+1
4.17450E-1	4.22338E-11	3.59723E-2	4.17450E-1	-2.24967E+1	3.01324E-11	3.25432E-2	4.17450E-1	-2.26277E+1
4.16800E-1	4.24997E-11	3.54806E-2	4.16800E-1	-2.20359E+1	3.34983E-11	3.32700E-2	4.16800E-1	-2.23429E+1
4.16150E-1	3.62637E-11	3.56115E-2	4.16150E-1	-2.21721E+1	4.04313E-11	3.38771E-2	4.16150E-1	-2.24047E+1
4.15500E-1	3.03439E-11	3.60182E-2	4.15500E-1	-2.24118E+1	4.31382E-11	3.39109E-2	4.15500E-1	-2.23664E+1
4.14850E-1	3.08034E-11	3.59781E-2	4.14850E-1	-2.22965E+1	3.82323E-11	3.39108E-2	4.14850E-1	-2.24143E+1
4.14200E-1	3.72739E-11	3.52139E-2	4.14200E-1	-2.21913E+1	3.12196E-11	3.39418E-2	4.14200E-1	-2.23662E+1
4.13550E-1	4.26825E-11	3.42162E-2	4.13550E-1	-2.24822E+1	3.00278E-11	3.44048E-2	4.13550E-1	-2.24996E+1
4.12900E-1	4.08027E-11	3.36942E-2	4.12900E-1	-2.21070E+1	3.57395E-11	3.48280E-2	4.12900E-1	-2.21036E+1
4.12250E-1	3.31863E-11	3.41679E-2	4.12250E-1	-2.24239E+1	4.24617E-11	3.46754E-2	4.12250E-1	-2.24585E+1
4.11600E-1	2.86971E-11	3.49396E-2	4.11600E-1	-2.23860E+1	4.19577E-11	3.39106E-2	4.11600E-1	-2.24333E+1
4.10950E-1	3.19935E-11	3.51621E-2	4.10950E-1	-2.22541E+1	3.54725E-11	3.31212E-2	4.10950E-1	-2.20519E+1
4.10300E-1	3.95174E-11	3.50395E-2	4.10300E-1	-2.21798E+1	2.99549E-11	3.26918E-2	4.10300E-1	-2.23140E+1
4.09650E-1	4.23729E-11	3.48790E-2	4.09650E-1	-2.22176E+1	3.13257E-11	3.27084E-2	4.09650E-1	-2.24615E+1
4.09000E-1	3.72618E-11	3.55056E-2	4.09000E-1	-2.23408E+1	3.79821E-11	3.29995E-2	4.09000E-1	-2.23002E+1
4.08350E-1	2.96369E-11	3.66005E-2	4.08350E-1	-2.24134E+1	4.26799E-11	3.32963E-2	4.08350E-1	-2.21882E+1
4.07700E-1	2.80011E-11	3.72357E-2	4.07700E-1	-2.22949E+1	3.94648E-11	3.29006E-2	4.07700E-1	-2.23799E+1
4.07050E-1	3.43183E-11	3.64911E-2	4.07050E-1	-2.24352E+1	3.22048E-11	3.24420E-2	4.07050E-1	-2.25481E+1
4.06400E-1	4.06333E-11	3.48684E-2	4.06400E-1	-2.21370E+1	2.82907E-11	3.20971E-2	4.06400E-1	-2.24310E+1
4.05750E-1	4.08481E-11	3.35530E-2	4.05750E-1	-2.22573E+1	3.28215E-11	3.24294E-2	4.05750E-1	-2.25613E+1
4.05100E-1	3.37290E-11	3.33303E-2	4.05100E-1	-2.23855E+1	4.00945E-11	3.27552E-2	4.05100E-1	-2.22999E+1
4.04450E-1	2.78510E-11	3.36963E-2	4.04450E-1	-2.23393E+1	4.23355E-11	3.28131E-2	4.04450E-1	-2.25537E+1
4.03800E-1	2.90934E-11	3.36314E-2	4.03800E-1	-2.23751E+1	3.68928E-11	3.24902E-2	4.03800E-1	-2.26132E+1
4.03150E-1	3.57014E-11	3.28842E-2	4.03150E-1	-2.24172E+1	3.02488E-11	3.21735E-2	4.03150E-1	-2.22942E+1
4.02500E-1	4.08545E-11	3.20672E-2	4.02500E-1	-2.23772E+1	2.95233E-11	3.25378E-2	4.02500E-1	-2.24936E+1
4.01850E-1	3.81383E-11	3.20470E-2	4.01850E-1	-2.24349E+1	3.58660E-11	3.31535E-2	4.01850E-1	-2.26184E+1
4.01200E-1	3.06341E-11	3.28796E-2	4.01200E-1	-2.23365E+1	4.17293E-11	3.35746E-2	4.01200E-1	-2.23661E+1
4.00550E-1	2.69390E-11	3.37344E-2	4.00550E-1	-2.25300E+1	4.09546E-11	3.34245E-2	4.00550E-1	-2.25192E+1
3.99900E-1	3.07598E-11	3.38634E-2	3.99900E-1	-2.22642E+1	3.44046E-11	3.29624E-2	3.99900E-1	-2.22709E+1
3.99250E-1	3.79195E-11	3.33742E-2	3.99250E-1	-2.22637E+1	2.89940E-11	3.27897E-2	3.99250E-1	-2.23882E+1
3.98600E-1	4.02237E-11	3.30326E-2	3.98600E-1	-2.23273E+1	3.12323E-11	3.33619E-2	3.98600E-1	-2.26833E+1
3.97950E-1	3.49878E-11	3.32776E-2	3.97950E-1	-2.22250E+1	3.83589E-11	3.42269E-2	3.97950E-1	-2.22499E+1
3.97300E-1	2.75627E-11	3.39435E-2	3.97300E-1	-2.23279E+1	4.21319E-11	3.45262E-2	3.97300E-1	-2.24305E+1
3.96650E-1	2.64682E-11	3.42487E-2	3.96650E-1	-2.22673E+1	3.87682E-11	3.40359E-2	3.96650E-1	-2.24839E+1
3.96000E-1	3.29822E-11	3.38923E-2	3.96000E-1	-2.23478E+1	3.15295E-11	3.32185E-2	3.96000E-1	-2.21718E+1
3.95350E-1	3.87486E-11	3.34000E-2	3.95350E-1	-2.22345E+1	2.88577E-11	3.29989E-2	3.95350E-1	-2.24433E+1
